"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"1","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h14","06h54","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 06h54 + 8 min","09 avril 2024 "
"2","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h43","07h18","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 07h18 + 17 min","09 avril 2024 "
"3","LE HAVRE","PARIS-ST-LAZARE","05h17","07h39","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 07h39 + 20 min","09 avril 2024 "
"4","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h04","07h51","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 07h51 + 20 min","09 avril 2024 "
"5","VERNON-GIVERNY","PARIS-ST-LAZARE","07h02","08h08","A l'heure",0,"","09 avril 2024 "
"6","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h33","08h16","A l'heure",0,"","09 avril 2024 "
"7","VERNON-GIVERNY","PARIS-ST-LAZARE","07h22","08h28","Non",18,"","09 avril 2024 "
"8","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h57","08h36","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 08h36 + 21 min","09 avril 2024 "
"9","LE HAVRE","PARIS-ST-LAZARE","06h27","08h39","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 08h39 + 26 min","09 avril 2024 "
"10","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","07h37","09h17","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 09h17 + 13 min","09 avril 2024 "
"11","LE HAVRE","PARIS-ST-LAZARE","07h05","09h20","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 09h20 + 31 min","09 avril 2024 "
"12","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","08h14","09h49","A l'heure",0,"","09 avril 2024 "
"13","LE HAVRE","PARIS-ST-LAZARE","08h03","10h23","A l'heure",0,"","09 avril 2024 "
"14","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","09h12","10h48","A l'heure",0,"","09 avril 2024 "
"15","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","10h11","11h48","Non",8,"","09 avril 2024 "
"16","LE HAVRE","PARIS-ST-LAZARE","10h03","12h23","A l'heure",0,"","09 avril 2024 "
"17","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","12h11","13h48","A l'heure",0,"","09 avril 2024 "
"18","LE HAVRE","PARIS-ST-LAZARE","12h03","14h23","A l'heure",0,"","09 avril 2024 "
"19","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","13h09","14h48","A l'heure",0,"","09 avril 2024 "
"20","LE HAVRE","PARIS-ST-LAZARE","13h09","15h18","A l'heure",0,"","09 avril 2024 "
"21","LE HAVRE","PARIS-ST-LAZARE","14h03","16h23","Non",0,"Présence d'une personne dans les voies entre Oissel et St 16h23 + 31 min","09 avril 2024 "
"22","LE HAVRE","PARIS-ST-LAZARE","15h03","17h20","A l'heure",0,"","09 avril 2024 "
"23","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","16h09","17h51","Non",0,"Présence d'une personne dans les voies entre Oissel et St 17h51 + 36 min","09 avril 2024 "
"24","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","17h09","18h49","A l'heure",0,"","09 avril 2024 "
"25","LE HAVRE","PARIS-ST-LAZARE","17h03","19h20","A l'heure",0,"","09 avril 2024 "
"26","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","18h09","19h49","Non",24,"","09 avril 2024 "
"27","LE HAVRE","PARIS-ST-LAZARE","18h01","20h23","A l'heure",0,"","09 avril 2024 "
"28","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","19h13","20h49","A l'heure",0,"","09 avril 2024 "
"29","LE HAVRE","PARIS-ST-LAZARE","19h02","21h20","A l'heure",0,"","09 avril 2024 "
"30","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","20h09","21h50","Non",19,"","09 avril 2024 "
"31","LE HAVRE","PARIS-ST-LAZARE","20h03","22h23","A l'heure",0,"","09 avril 2024 "
"32","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","05h46","07h20","A l'heure",0,"","09 avril 2024 "
"33","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","06h09","07h48","A l'heure",0,"","09 avril 2024 "
"34","PARIS-ST-LAZARE","LE HAVRE","06h40","08h48","A l'heure",0,"","09 avril 2024 "
"35","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","07h12","08h48","A l'heure",0,"","09 avril 2024 "
"36","PARIS-ST-LAZARE","LE HAVRE","07h40","09h58","A l'heure",0,"","09 avril 2024 "
"37","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","08h14","09h46","Non",20,"","09 avril 2024 "
"38","PARIS-ST-LAZARE","LE HAVRE","08h40","10h58","A l'heure",0,"","09 avril 2024 "
"39","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","10h11","11h44","A l'heure",0,"","09 avril 2024 "
"40","PARIS-ST-LAZARE","LE HAVRE","10h40","12h58","A l'heure",0,"","09 avril 2024 "
"41","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","12h12","13h50","A l'heure",0,"","09 avril 2024 "
"42","PARIS-ST-LAZARE","LE HAVRE","12h39","14h58","A l'heure",0,"","09 avril 2024 "
"43","PARIS-ST-LAZARE","LE HAVRE","13h40","15h48","Non",69,"Présence d'une bâche sur la voie à Epônes + présence d'une personne dans les voies entre Oissel et St Etienne du Rouvray","09 avril 2024 "
"44","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","14h12","15h41","Non",50,"Présence d'une bâche sur la voie à Epônes + présence d'une personne dans les voies entre Oissel et St Etienne du Rouvray","09 avril 2024 "
"45","PARIS-ST-LAZARE","LE HAVRE","14h40","16h58","Non",0,"Présence d'une personne dans les voies entre Oissel et St 16h58 + 23 min","09 avril 2024 "
"46","PARIS-ST-LAZARE","LE HAVRE","15h40","17h58","A l'heure",0,"","09 avril 2024 "
"47","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h11","17h47","Non",40,"","09 avril 2024 "
"48","PARIS-ST-LAZARE","LE HAVRE","16h40","18h58","A l'heure",0,"","09 avril 2024 "
"49","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h50","18h31","Non",10,"","09 avril 2024 "
"50","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h12","18h50","A l'heure",0,"","09 avril 2024 "
"51","PARIS-ST-LAZARE","LE HAVRE","17h40","20h00","A l'heure",0,"","09 avril 2024 "
"52","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h49","19h25","A l'heure",0,"","09 avril 2024 "
"53","PARIS-ST-LAZARE","VERNON-GIVERNY","17h52","18h58","A l'heure",0,"","09 avril 2024 "
"54","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h11","19h54","Non",0,"Présence d'une personne dans les voies entre Oissel et St 19h54 + 27 min","09 avril 2024 "
"55","PARIS-ST-LAZARE","VERNON-GIVERNY","18h21","19h29","A l'heure",0,"","09 avril 2024 "
"56","PARIS-ST-LAZARE","LE HAVRE","18h40","21h00","A l'heure",0,"","09 avril 2024 "
"57","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h50","20h26","A l'heure",0,"","09 avril 2024 "
"58","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","19h11","20h47","A l'heure",0,"","09 avril 2024 "
"59","PARIS-ST-LAZARE","LE HAVRE","19h40","21h55","A l'heure",0,"","09 avril 2024 "
"60","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","20h12","21h49","Non",11,"","09 avril 2024 "
"61","PARIS-ST-LAZARE","LE HAVRE","20h40","22h55","A l'heure",0,"","09 avril 2024 "
"62","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","21h12","22h44","A l'heure",0,"","09 avril 2024 "
"63","SERQUIGNY","PARIS-ST-LAZARE","05h12","06h28","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 06h28 + 22 min","09 avril 2024 "
"64","CAEN","PARIS-ST-LAZARE","04h59","07h15","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 07h15 + 16 min","09 avril 2024 "
"65","SERQUIGNY","PARIS-ST-LAZARE","05h27","07h28","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 07h28 + 12 min","09 avril 2024 "
"66","CAEN","PARIS-ST-LAZARE","06h09","08h19","A l'heure",0,"","09 avril 2024 "
"67","SERQUIGNY","PARIS-ST-LAZARE","06h57","08h50","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 08h50 + 30 min","09 avril 2024 "
"68","CHERBOURG","PARIS-ST-LAZARE","05h49","08h58","Non",29,"","09 avril 2024 "
"69","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","07h25","09h38","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 09h38 + 21 min","09 avril 2024 "
"70","CHERBOURG","PARIS-ST-LAZARE","06h46","09h57","Supp partielle",0,"Suppr. 09h57 Origine Caen suite à l'avis de tempête","09 avril 2024 "
"71","CAEN","PARIS-ST-LAZARE","08h25","10h32","Non",0,"Emprunt d'un autre itinéraire en Île-de-France suite à la 10h32 + 19 min","09 avril 2024 "
"72","CAEN","PARIS-ST-LAZARE","09h06","11h04","A l'heure",0,"","09 avril 2024 "
"73","CHERBOURG","PARIS-ST-LAZARE","08h54","12h02","Supp partielle",0,"Suppr. 12h02 Origine Caen suite à l'avis de tempête","09 avril 2024 "
"74","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","10h22","12h32","A l'heure",0,"","09 avril 2024 "
"75","CHERBOURG","PARIS-ST-LAZARE","10h48","14h02","Supp partielle",0,"Suppr. 14h02 Origine Caen suite à l'avis de tempête","09 avril 2024 "
"76","CHERBOURG","PARIS-ST-LAZARE","12h48","15h56","Supp partielle",0,"Suppr. 15h56 Origine Caen suite à l'avis de tempête","09 avril 2024 "
"77","CAEN","PARIS-ST-LAZARE","14h25","16h31","A l'heure",0,"","09 avril 2024 "
"78","CAEN","PARIS-ST-LAZARE","16h57","19h01","A l'heure",0,"","09 avril 2024 "
"79","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","17h22","19h30","A l'heure",0,"","09 avril 2024 "
"80","CHERBOURG","PARIS-ST-LAZARE","16h47","19h56","A l'heure",0,"","09 avril 2024 "
"81","CHERBOURG","PARIS-ST-LAZARE","17h39","21h03","A l'heure",0,"","09 avril 2024 "
"82","CHERBOURG","PARIS-ST-LAZARE","19h17","22h51","A l'heure",0,"","09 avril 2024 "
"83","PARIS-ST-LAZARE","CHERBOURG","06h12","09h36","Supp partielle",0,"Suppr. 09h36 Limité à Caen suite à l'avis de tempête","09 avril 2024 "
"84","PARIS-ST-LAZARE",NA,"07h09","08h24","A l'heure",0,"","09 avril 2024 "
"85","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","07h27","09h40","A l'heure",0,"","09 avril 2024 "
"86","PARIS-ST-LAZARE","CAEN","08h29","10h36","A l'heure",0,"","09 avril 2024 "
"87","PARIS-ST-LAZARE",NA,"09h10","10h24","Non",18,"","09 avril 2024 "
"88","PARIS-ST-LAZARE","CAEN","09h59","12h03","A l'heure",0,"","09 avril 2024 "
"89","PARIS-ST-LAZARE","CHERBOURG","10h59","14h06","Supp partielle",0,"Suppr. 14h06 Limité à Caen suite à l'avis de tempête","09 avril 2024 "
"90","PARIS-ST-LAZARE",NA,"11h09","12h24","A l'heure",0,"","09 avril 2024 "
"91","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","12h30","14h37","A l'heure",0,"","09 avril 2024 "
"92","PARIS-ST-LAZARE","CHERBOURG","12h59","16h06","A l'heure",0,"","09 avril 2024 "
"93","PARIS-ST-LAZARE",NA,"13h10","14h25","A l'heure",0,"","09 avril 2024 "
"94","PARIS-ST-LAZARE","CAEN","13h56","16h02","Non",29,"","09 avril 2024 "
"95","PARIS-ST-LAZARE",NA,"15h09","16h24","A l'heure",0,"","09 avril 2024 "
"96","PARIS-ST-LAZARE","CHERBOURG","15h58","19h06","Non",7,"","09 avril 2024 "
"97","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","16h08","18h20","A l'heure",0,"","09 avril 2024 "
"98","PARIS-ST-LAZARE","SERQUIGNY","16h30","18h16","A l'heure",0,"","09 avril 2024 "
"99","PARIS-ST-LAZARE","CHERBOURG","16h59","20h16","Non",0,"Espacement avec le train n° 130827 suite à l'intervention des 20h16 + 49 min","09 avril 2024 "
"100","PARIS-ST-LAZARE","CAEN","17h09","19h16","A l'heure",0,"","09 avril 2024 "
"101","PARIS-ST-LAZARE","SERQUIGNY","17h30","19h20","A l'heure",0,"","09 avril 2024 "
"102","PARIS-ST-LAZARE","CHERBOURG","17h59","21h15","A l'heure",0,"","09 avril 2024 "
"103","PARIS-ST-LAZARE","CAEN","18h08","20h21","Non",20,"","09 avril 2024 "
"104","PARIS-ST-LAZARE","SERQUIGNY","18h30","20h20","Non",19,"","09 avril 2024 "
"105","PARIS-ST-LAZARE","CHERBOURG","18h59","22h20","Non",0,"","09 avril 2024 "
"106","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","19h08","21h23","A l'heure",0,"","09 avril 2024 "
"107","PARIS-ST-LAZARE",NA,"19h30","20h49","A l'heure",0,"","09 avril 2024 "
"108","PARIS-ST-LAZARE","CAEN","19h59","22h02","A l'heure",0,"","09 avril 2024 "
"109","PARIS-ST-LAZARE",NA,"21h00","22h00","A l'heure",0,"","09 avril 2024 "
"110","ARGENTAN","PARIS-VAUGIRARD","06h12","08h16","Non",50,"","09 avril 2024 "
"111","GRANVILLE","PARIS-MONTPARNASSE","05h56","09h17","Non",0,"Origine Argentan suite à l'avis de tempête + Panne de 09h17 + 85 min","09 avril 2024 "
"112","GRANVILLE","PARIS-MONTPARNASSE","09h00","12h06","Supp partielle",0,"Suppr. 12h06 Origine Argentan suite à l'avis de tempête","09 avril 2024 "
"113","ARGENTAN","PARIS-VAUGIRARD","12h12","14h15","A l'heure",0,"","09 avril 2024 "
"114","GRANVILLE","PARIS-MONTPARNASSE","11h56","15h06","Supp partielle",0,"Suppr. 15h06 Origine Argentan suite à l'avis de tempête","09 avril 2024 "
"115","GRANVILLE","PARIS-MONTPARNASSE","15h53","19h15","A l'heure",0,"","09 avril 2024 "
"116","GRANVILLE","PARIS-MONTPARNASSE","18h50","22h06","A l'heure",0,"","09 avril 2024 "
"117","PARIS-MONTPARNASSE","GRANVILLE","07h32","10h50","Supp partielle",0,"Suppr. 10h50 Limité Argentan suite à l'avis de tempête","09 avril 2024 "
"118","PARIS-MONTPARNASSE","ARGENTAN","09h45","11h40","A l'heure",0,"","09 avril 2024 "
"119","PARIS-MONTPARNASSE","GRANVILLE","10h54","13h54","Supp partielle",0,"Suppr. 13h54 Limité Argentan suite à l'avis de tempête","09 avril 2024 "
"120","PARIS-MONTPARNASSE","GRANVILLE","13h54","17h00","A l'heure",0,"","09 avril 2024 "
"121","PARIS-VAUGIRARD","GRANVILLE","17h13","20h39","A l'heure",0,"","09 avril 2024 "
"122","PARIS-MONTPARNASSE","ARGENTAN","18h13","20h21","Non",14,"","09 avril 2024 "
"123","PARIS-MONTPARNASSE","GRANVILLE","19h43","23h05","A l'heure",0,"","09 avril 2024 "
"124","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h14","06h54","A l'heure",0,"","10 avril 2024 "
"125","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h43","07h18","Non",9,"","10 avril 2024 "
"126","LE HAVRE","PARIS-ST-LAZARE","05h17","07h39","Non",7,"","10 avril 2024 "
"127","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h04","07h51","Non",12,"","10 avril 2024 "
"128","VERNON-GIVERNY","PARIS-ST-LAZARE","07h02","08h08","A l'heure",0,"","10 avril 2024 "
"129","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h33","08h16","Non",15,"","10 avril 2024 "
"130","VERNON-GIVERNY","PARIS-ST-LAZARE","07h22","08h28","Non",7,"","10 avril 2024 "
"131","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h57","08h36","A l'heure",0,"","10 avril 2024 "
"132","LE HAVRE","PARIS-ST-LAZARE","06h27","08h39","A l'heure",0,"","10 avril 2024 "
"133","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","07h37","09h17","A l'heure",0,"","10 avril 2024 "
"134","LE HAVRE","PARIS-ST-LAZARE","07h05","09h20","Non",8,"","10 avril 2024 "
"135","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","08h14","09h49","Non",11,"","10 avril 2024 "
"136","LE HAVRE","PARIS-ST-LAZARE","08h03","10h23","A l'heure",0,"","10 avril 2024 "
"137","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","09h12","10h48","Non",16,"","10 avril 2024 "
