"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"1","LE HAVRE","PARIS-ST-LAZARE","08h04","10h52","A l'heure",0,"","27 janvier 2024%"
"2","LE HAVRE","PARIS-ST-LAZARE","10h01","12h52","A l'heure",0,"","27 janvier 2024%"
"3","LE HAVRE","PARIS-ST-LAZARE","12h01","14h52","A l'heure",0,"","27 janvier 2024%"
"4","LE HAVRE","PARIS-ST-LAZARE","14h11","17h21","A l'heure",0,"","27 janvier 2024%"
"5","LE HAVRE","PARIS-ST-LAZARE","16h01","18h52","A l'heure",0,"","27 janvier 2024%"
"6","LE HAVRE","PARIS-ST-LAZARE","18h04","21h05","A l'heure",0,"","27 janvier 2024%"
"7","PARIS-ST-LAZARE","LE HAVRE","07h00","09h58","A l'heure",0,"","27 janvier 2024%"
"8","PARIS-ST-LAZARE","LE HAVRE","08h56","11h59","A l'heure",0,"","27 janvier 2024%"
"9","PARIS-ST-LAZARE","LE HAVRE","10h56","13h58","A l'heure",0,"","27 janvier 2024%"
"10","PARIS-ST-LAZARE","LE HAVRE","13h03","16h00","A l'heure",0,"","27 janvier 2024%"
"11","PARIS-ST-LAZARE","LE HAVRE","15h03","17h57","A l'heure",0,"","27 janvier 2024%"
"12","PARIS-ST-LAZARE","LE HAVRE","17h03","19h53","A l'heure",0,"","27 janvier 2024%"
"13","PARIS-ST-LAZARE","LE HAVRE","19h03","21h56","A l'heure",0,"","27 janvier 2024%"
"14","CAEN","PARIS-ST-LAZARE","07h04","09h37","A l'heure",0,"","27 janvier 2024%"
"15","CHERBOURG","PARIS-ST-LAZARE","07h00","10h32","A l'heure",0,"","27 janvier 2024%"
"16","CAEN","PARIS-ST-LAZARE","08h38","11h06","A l'heure",0,"","27 janvier 2024%"
"17","CHERBOURG","PARIS-ST-LAZARE","08h57","12h34","A l'heure",0,"","27 janvier 2024%"
"18","PARIS-ST-LAZARE","CHERBOURG","07h08","10h48","A l'heure",0,"","27 janvier 2024%"
"19","PARIS-ST-LAZARE",NA,"08h08","10h45","A l'heure",0,"","27 janvier 2024%"
"20","PARIS-ST-LAZARE","CHERBOURG","08h30","12h14","A l'heure",0,"","27 janvier 2024%"
"21","PARIS-ST-LAZARE","CAEN","09h45","12h03","Non",36,"","27 janvier 2024%"
"22","PARIS-ST-LAZARE",NA,"10h00","12h46","A l'heure",0,"","27 janvier 2024%"
"23","PARIS-ST-LAZARE","CHERBOURG","10h43","14h09","A l'heure",0,"","27 janvier 2024%"
"24","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h14","06h54","A l'heure",0,"","29 janvier 2024%"
"25","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h43","07h18","Supp partielle",0,"Supp 07h18 l'interruption totale de circulation. Panne persistante malgré","29 janvier 2024%"
"26","LE HAVRE","PARIS-ST-LAZARE","05h17","07h39","Non",102,"Emprunt d'un autre itinéraire suite à la panne survenue sur le train n°13102 entre la Bif de Darnétal et Sotteville","29 janvier 2024%"
"27","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h04","07h51","Supprimé",0,"Conséquence de la panne survenue sur le train n°13102 entre 07h51 Supprimé la Bif de Darnétal et Sotteville","29 janvier 2024%"
"28","VERNON-GIVERNY","PARIS-ST-LAZARE","07h02","08h08","A l'heure",0,"","29 janvier 2024%"
"29","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h33","08h16","Supprimé",0,"Conséquence de la panne survenue sur le train n°13102 entre 08h16 Supprimé la Bif de Darnétal et Sotteville","29 janvier 2024%"
"30","VERNON-GIVERNY","PARIS-ST-LAZARE","07h22","08h28","Non",8,"Retenu en gare de Vernon-Giverny suite à la panne survenue sur le train n°13102 entre la Bid de Darnétal et Sotteville","29 janvier 2024%"
"31","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h57","08h36","Supp partielle",0,"Supp Origine en gare de Oissel suite à la panne survenue sur le train 08h36 n°13102 entre la Bid de Darnétal et Sotteville","29 janvier 2024%"
"32","LE HAVRE","PARIS-ST-LAZARE","06h27","08h39","Non",39,"Retenu en gare de Paris-St-Lazare suite à la panne survenue sur le train n°13102 entre la Bid de Darnétal et Sotteville","29 janvier 2024%"
"33","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","07h37","09h17","Non",35,"Conséquence de la panne survenue sur le train n°13102 entre la Bif de Darnétal et Sotteville","29 janvier 2024%"
"34","LE HAVRE","PARIS-ST-LAZARE","07h05","09h20","Non",39,"Retenu en gare du Havre suite à la panne survenue sur le train n°13102 entre la Bid de Darnétal et Sotteville","29 janvier 2024%"
"35","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","08h14","09h49","A l'heure",0,"","29 janvier 2024%"
"36","LE HAVRE","PARIS-ST-LAZARE","08h03","10h23","A l'heure",0,"","29 janvier 2024%"
"37","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","09h12","10h48","Non",17,"Conséquence de la panne survenue sur le train n°13102 entre la Bif de Darnétal et Sotteville","29 janvier 2024%"
"38","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","10h11","11h48","A l'heure",0,"","29 janvier 2024%"
"39","LE HAVRE","PARIS-ST-LAZARE","10h03","12h23","A l'heure",0,"","29 janvier 2024%"
"40","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","12h11","13h48","A l'heure",0,"","29 janvier 2024%"
"41","LE HAVRE","PARIS-ST-LAZARE","12h03","14h23","A l'heure",0,"","29 janvier 2024%"
"42","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","13h09","14h48","A l'heure",0,"","29 janvier 2024%"
"43","LE HAVRE","PARIS-ST-LAZARE","13h09","15h18","A l'heure",0,"","29 janvier 2024%"
"44","LE HAVRE","PARIS-ST-LAZARE","14h03","16h23","A l'heure",0,"","29 janvier 2024%"
"45","LE HAVRE","PARIS-ST-LAZARE","15h03","17h20","A l'heure",0,"","29 janvier 2024%"
"46","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","16h09","17h51","A l'heure",0,"","29 janvier 2024%"
"47","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","17h09","18h49","A l'heure",0,"","29 janvier 2024%"
"48","LE HAVRE","PARIS-ST-LAZARE","17h03","19h20","A l'heure",0,"","29 janvier 2024%"
"49","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","18h09","19h49","A l'heure",0,"","29 janvier 2024%"
"50","LE HAVRE","PARIS-ST-LAZARE","18h01","20h23","A l'heure",0,"","29 janvier 2024%"
"51","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","19h13","20h49","Non",16,"","29 janvier 2024%"
"52","LE HAVRE","PARIS-ST-LAZARE","19h02","21h20","A l'heure",0,"","29 janvier 2024%"
"53","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","20h09","21h50","A l'heure",0,"","29 janvier 2024%"
"54","LE HAVRE","PARIS-ST-LAZARE","20h03","22h23","A l'heure",0,"","29 janvier 2024%"
"55","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","05h46","07h20","Non",16,"Conséquence de la panne survenue sur le train n°13102 entre la Bif de Darnétal et Sotteville","29 janvier 2024%"
"56","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","06h09","07h48","A l'heure",0,"","29 janvier 2024%"
"57","PARIS-ST-LAZARE","LE HAVRE","06h40","08h48","A l'heure",0,"","29 janvier 2024%"
"58","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","07h12","08h48","Non",37,"Retenu en gare de Paris-St-Lazare suite à la panne survenue sur le train n°13102 entre la Bid de Darnétal et Sotteville","29 janvier 2024%"
"59","PARIS-ST-LAZARE","LE HAVRE","07h40","09h58","A l'heure",0,"","29 janvier 2024%"
"60","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","08h14","09h46","Supprimé",0,"Conséquence de la panne survenue sur le train n°13102 entre 09h46 Supprimé la Bif de Darnétal et Sotteville","29 janvier 2024%"
"61","PARIS-ST-LAZARE","LE HAVRE","08h40","10h58","A l'heure",0,"","29 janvier 2024%"
"62","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","10h11","11h44","A l'heure",0,"","29 janvier 2024%"
"63","PARIS-ST-LAZARE","LE HAVRE","10h40","12h58","A l'heure",0,"","29 janvier 2024%"
"64","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","12h12","13h50","A l'heure",0,"","29 janvier 2024%"
"65","PARIS-ST-LAZARE","LE HAVRE","12h39","14h58","A l'heure",0,"","29 janvier 2024%"
"66","PARIS-ST-LAZARE","LE HAVRE","13h40","15h48","A l'heure",0,"","29 janvier 2024%"
"67","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","14h12","15h41","A l'heure",0,"","29 janvier 2024%"
"68","PARIS-ST-LAZARE","LE HAVRE","14h40","16h58","A l'heure",0,"","29 janvier 2024%"
"69","PARIS-ST-LAZARE","LE HAVRE","15h40","17h58","A l'heure",0,"","29 janvier 2024%"
"70","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h11","17h47","A l'heure",0,"","29 janvier 2024%"
"71","PARIS-ST-LAZARE","LE HAVRE","16h40","18h58","A l'heure",0,"","29 janvier 2024%"
"72","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h50","18h31","Non",53,"","29 janvier 2024%"
"73","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h12","18h50","A l'heure",0,"","29 janvier 2024%"
"74","PARIS-ST-LAZARE","LE HAVRE","17h40","20h00","A l'heure",0,"","29 janvier 2024%"
"75","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h49","19h25","A l'heure",0,"","29 janvier 2024%"
"76","PARIS-ST-LAZARE","VERNON-GIVERNY","17h52","18h58","A l'heure",0,"","29 janvier 2024%"
"77","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h11","19h54","A l'heure",0,"","29 janvier 2024%"
"78","PARIS-ST-LAZARE","VERNON-GIVERNY","18h21","19h29","A l'heure",0,"","29 janvier 2024%"
"79","PARIS-ST-LAZARE","LE HAVRE","18h40","21h00","A l'heure",0,"","29 janvier 2024%"
"80","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h50","20h26","A l'heure",0,"","29 janvier 2024%"
"81","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","19h11","20h47","A l'heure",0,"","29 janvier 2024%"
"82","PARIS-ST-LAZARE","LE HAVRE","19h40","21h55","A l'heure",0,"","29 janvier 2024%"
"83","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","20h12","21h49","Non",8,"","29 janvier 2024%"
"84","PARIS-ST-LAZARE","LE HAVRE","20h40","22h55","A l'heure",0,"","29 janvier 2024%"
"85","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","21h12","22h44","A l'heure",0,"","29 janvier 2024%"
"86","SERQUIGNY","PARIS-ST-LAZARE","04h38","06h28","A l'heure",0,"","29 janvier 2024%"
"87","CAEN","PARIS-ST-LAZARE","04h59","07h15","A l'heure",0,"","29 janvier 2024%"
"88","SERQUIGNY","PARIS-ST-LAZARE","05h27","07h28","A l'heure",0,"","29 janvier 2024%"
