"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"47","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h11","17h47","A l'heure",0,"","15 mai 2024 Ré"
"48","PARIS-ST-LAZARE","LE HAVRE","16h40","18h58","A l'heure",0,"","15 mai 2024 Ré"
"49","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h50","18h31","A l'heure",0,"","15 mai 2024 Ré"
"50","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h12","18h50","A l'heure",0,"","15 mai 2024 Ré"
"51","PARIS-ST-LAZARE","LE HAVRE","17h40","20h00","A l'heure",0,"","15 mai 2024 Ré"
"52","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h49","19h25","A l'heure",0,"","15 mai 2024 Ré"
"53","PARIS-ST-LAZARE","VERNON-GIVERNY","17h52","18h58","A l'heure",0,"","15 mai 2024 Ré"
"54","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h11","19h54","A l'heure",0,"","15 mai 2024 Ré"
"55","PARIS-ST-LAZARE","VERNON-GIVERNY","18h21","19h29","A l'heure",0,"","15 mai 2024 Ré"
"56","PARIS-ST-LAZARE","LE HAVRE","18h40","21h00","A l'heure",0,"","15 mai 2024 Ré"
"57","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h50","20h26","Non",25,"","15 mai 2024 Ré"
"58","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","19h11","20h47","Non",0,"Conséquence de l'intervention des pompiers dans le train 20h47 + 13 min","15 mai 2024 Ré"
"59","PARIS-ST-LAZARE","LE HAVRE","19h40","21h55","A l'heure",0,"","15 mai 2024 Ré"
"60","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","20h12","21h49","A l'heure",0,"","15 mai 2024 Ré"
"61","PARIS-ST-LAZARE","LE HAVRE","20h40","22h55","A l'heure",0,"","15 mai 2024 Ré"
"62","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","21h12","22h44","A l'heure",0,"","15 mai 2024 Ré"
"63","SERQUIGNY","PARIS-ST-LAZARE","05h11","06h28","A l'heure",0,"","15 mai 2024 Ré"
"64","CAEN","PARIS-ST-LAZARE","04h59","07h15","Non",10,"","15 mai 2024 Ré"
"65","SERQUIGNY","PARIS-ST-LAZARE","05h27","07h28","A l'heure",0,"","15 mai 2024 Ré"
"66","CAEN","PARIS-ST-LAZARE","06h09","08h19","Non",0,"Conséquence du vol de câbles de la veille dans le tunnel de 08h19 + 11 min","15 mai 2024 Ré"
"67","SERQUIGNY","PARIS-ST-LAZARE","06h57","08h50","A l'heure",0,"","15 mai 2024 Ré"
"68","CHERBOURG","PARIS-ST-LAZARE","05h49","08h58","A l'heure",0,"","15 mai 2024 Ré"
"69","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","07h25","09h38","A l'heure",0,"","15 mai 2024 Ré"
"70","CHERBOURG","PARIS-ST-LAZARE","06h46","09h57","A l'heure",0,"","15 mai 2024 Ré"
"71","CAEN","PARIS-ST-LAZARE","08h25","10h32","A l'heure",0,"","15 mai 2024 Ré"
"72","CAEN","PARIS-ST-LAZARE","09h06","11h04","A l'heure",0,"","15 mai 2024 Ré"
"73","CHERBOURG","PARIS-ST-LAZARE","08h54","12h02","A l'heure",0,"","15 mai 2024 Ré"
"74","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","10h22","12h32","Non",7,"","15 mai 2024 Ré"
"75","CHERBOURG","PARIS-ST-LAZARE","10h48","14h02","A l'heure",0,"","15 mai 2024 Ré"
"76","CHERBOURG","PARIS-ST-LAZARE","12h48","15h56","A l'heure",0,"","15 mai 2024 Ré"
"77","CAEN","PARIS-ST-LAZARE","14h25","16h31","A l'heure",0,"","15 mai 2024 Ré"
"78","CAEN","PARIS-ST-LAZARE","16h57","19h01","A l'heure",0,"","15 mai 2024 Ré"
"79","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","17h22","19h30","A l'heure",0,"","15 mai 2024 Ré"
"80","CHERBOURG","PARIS-ST-LAZARE","16h47","19h56","A l'heure",0,"","15 mai 2024 Ré"
"81","CHERBOURG","PARIS-ST-LAZARE","17h39","21h03","A l'heure",0,"","15 mai 2024 Ré"
"82","CHERBOURG","PARIS-ST-LAZARE","19h17","22h51","A l'heure",0,"","15 mai 2024 Ré"
"83","PARIS-ST-LAZARE","CHERBOURG","06h12","09h36","A l'heure",0,"","15 mai 2024 Ré"
"84","PARIS-ST-LAZARE",NA,"07h09","08h24","A l'heure",0,"","15 mai 2024 Ré"
"85","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","07h27","09h40","A l'heure",0,"","15 mai 2024 Ré"
"86","PARIS-ST-LAZARE","CAEN","08h29","10h36","A l'heure",0,"","15 mai 2024 Ré"
"87","PARIS-ST-LAZARE",NA,"09h10","10h24","A l'heure",0,"","15 mai 2024 Ré"
"88","PARIS-ST-LAZARE","CAEN","09h59","12h03","Non",11,"","15 mai 2024 Ré"
"89","PARIS-ST-LAZARE","CHERBOURG","10h59","14h06","Non",29,"","15 mai 2024 Ré"
"90","PARIS-ST-LAZARE","SERQUIGNY","11h09","12h59","Non",0,"Retenu à Mantes la Jolie suite au bagage abandonné dans le 12h59 + 11 min","15 mai 2024 Ré"
"91","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","12h30","14h37","A l'heure",0,"","15 mai 2024 Ré"
"92","PARIS-ST-LAZARE","CHERBOURG","12h59","16h06","A l'heure",0,"","15 mai 2024 Ré"
"93","PARIS-ST-LAZARE",NA,"13h10","14h25","Non",16,"","15 mai 2024 Ré"
"94","PARIS-ST-LAZARE","CAEN","13h56","16h02","A l'heure",0,"","15 mai 2024 Ré"
"95","PARIS-ST-LAZARE",NA,"15h09","16h24","A l'heure",0,"","15 mai 2024 Ré"
"96","PARIS-ST-LAZARE","CHERBOURG","15h58","19h06","A l'heure",0,"","15 mai 2024 Ré"
"97","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","16h08","18h20","A l'heure",0,"","15 mai 2024 Ré"
"98","PARIS-ST-LAZARE","SERQUIGNY","16h30","18h16","A l'heure",0,"","15 mai 2024 Ré"
"99","PARIS-ST-LAZARE","CHERBOURG","16h59","20h16","A l'heure",0,"","15 mai 2024 Ré"
"100","PARIS-ST-LAZARE","CAEN","17h09","19h16","A l'heure",0,"","15 mai 2024 Ré"
"101","PARIS-ST-LAZARE","SERQUIGNY","17h30","19h20","A l'heure",0,"","15 mai 2024 Ré"
