"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"1","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h14","06h54","A l'heure",0,"","24 juillet 2024%"
"2","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h43","07h18","A l'heure",0,"","24 juillet 2024%"
"3","LE HAVRE","PARIS-ST-LAZARE","05h17","07h39","A l'heure",0,"","24 juillet 2024%"
"4","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h04","07h51","A l'heure",0,"","24 juillet 2024%"
"5","VERNON-GIVERNY","PARIS-ST-LAZARE","07h02","08h08","A l'heure",0,"","24 juillet 2024%"
"6","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h33","08h16","A l'heure",0,"","24 juillet 2024%"
"7","VERNON-GIVERNY","PARIS-ST-LAZARE","07h22","08h28","Non",16,"","24 juillet 2024%"
"8","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h57","08h36","Non",14,"Conséquence de l'application d'une procédure de dépannage sur le train n°850018 à Sartrouville","24 juillet 2024%"
"9","LE HAVRE","PARIS-ST-LAZARE","06h27","08h39","A l'heure",0,"","24 juillet 2024%"
"10","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","07h37","09h17","A l'heure",0,"","24 juillet 2024%"
"11","LE HAVRE","PARIS-ST-LAZARE","07h05","09h20","A l'heure",0,"","24 juillet 2024%"
"12","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","08h14","09h49","A l'heure",0,"","24 juillet 2024%"
"13","LE HAVRE","PARIS-ST-LAZARE","08h03","10h23","A l'heure",0,"","24 juillet 2024%"
"14","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","09h12","10h48","A l'heure",0,"","24 juillet 2024%"
"15","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","10h11","11h48","A l'heure",0,"","24 juillet 2024%"
"16","LE HAVRE","PARIS-ST-LAZARE","10h03","12h23","A l'heure",0,"","24 juillet 2024%"
"17","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","12h11","13h48","A l'heure",0,"","24 juillet 2024%"
"18","LE HAVRE","PARIS-ST-LAZARE","12h03","14h23","A l'heure",0,"","24 juillet 2024%"
"19","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","13h09","14h48","A l'heure",0,"","24 juillet 2024%"
"20","LE HAVRE","PARIS-ST-LAZARE","13h09","15h18","A l'heure",0,"","24 juillet 2024%"
"21","LE HAVRE","PARIS-ST-LAZARE","14h03","16h23","A l'heure",0,"","24 juillet 2024%"
"22","LE HAVRE","PARIS-ST-LAZARE","15h03","17h20","A l'heure",0,"","24 juillet 2024%"
"23","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","16h09","17h48","A l'heure",0,"","24 juillet 2024%"
"24","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","17h09","18h49","A l'heure",0,"","24 juillet 2024%"
"25","LE HAVRE","PARIS-ST-LAZARE","17h03","19h20","A l'heure",0,"","24 juillet 2024%"
"26","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","18h09","19h49","A l'heure",0,"","24 juillet 2024%"
"27","LE HAVRE","PARIS-ST-LAZARE","18h01","20h23","A l'heure",0,"","24 juillet 2024%"
"28","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","19h13","20h49","A l'heure",0,"","24 juillet 2024%"
"29","LE HAVRE","PARIS-ST-LAZARE","19h02","21h20","A l'heure",0,"","24 juillet 2024%"
"30","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","20h09","21h50","A l'heure",0,"","24 juillet 2024%"
"31","LE HAVRE","PARIS-ST-LAZARE","20h03","22h23","A l'heure",0,"","24 juillet 2024%"
"32","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","05h46","07h20","A l'heure",0,"","24 juillet 2024%"
"33","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","06h09","07h48","A l'heure",0,"","24 juillet 2024%"
"34","PARIS-ST-LAZARE","LE HAVRE","06h40","08h48","Non",12,"Conséquence de travaux sur les voies entre Bréauté et Le Havre","24 juillet 2024%"
"35","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","07h12","08h48","A l'heure",0,"","24 juillet 2024%"
"36","PARIS-ST-LAZARE","LE HAVRE","07h40","09h58","A l'heure",0,"","24 juillet 2024%"
"37","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","08h14","09h46","A l'heure",0,"","24 juillet 2024%"
"38","PARIS-ST-LAZARE","LE HAVRE","08h40","10h58","A l'heure",0,"","24 juillet 2024%"
"39","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","10h11","11h44","A l'heure",0,"","24 juillet 2024%"
"40","PARIS-ST-LAZARE","LE HAVRE","10h40","12h58","A l'heure",0,"","24 juillet 2024%"
"41","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","12h12","13h50","A l'heure",0,"","24 juillet 2024%"
"42","PARIS-ST-LAZARE","LE HAVRE","12h39","14h58","A l'heure",0,"","24 juillet 2024%"
"43","PARIS-ST-LAZARE","LE HAVRE","13h40","15h48","A l'heure",0,"","24 juillet 2024%"
"44","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","14h12","15h41","A l'heure",0,"","24 juillet 2024%"
"45","PARIS-ST-LAZARE","LE HAVRE","14h40","16h58","A l'heure",0,"","24 juillet 2024%"
"46","PARIS-ST-LAZARE","LE HAVRE","15h40","17h58","A l'heure",0,"","24 juillet 2024%"
"47","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h11","17h47","A l'heure",0,"","24 juillet 2024%"
"48","PARIS-ST-LAZARE","LE HAVRE","16h40","18h58","A l'heure",0,"","24 juillet 2024%"
"49","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","16h50","18h31","A l'heure",0,"","24 juillet 2024%"
"50","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h12","18h50","A l'heure",0,"","24 juillet 2024%"
"51","PARIS-ST-LAZARE","LE HAVRE","17h40","20h00","A l'heure",0,"","24 juillet 2024%"
"52","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","17h49","19h26","A l'heure",0,"","24 juillet 2024%"
"53","PARIS-ST-LAZARE","VERNON-GIVERNY","17h52","19h01","A l'heure",0,"","24 juillet 2024%"
"54","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h11","19h54","A l'heure",0,"","24 juillet 2024%"
"55","PARIS-ST-LAZARE","VERNON-GIVERNY","18h21","19h28","A l'heure",0,"","24 juillet 2024%"
"56","PARIS-ST-LAZARE","LE HAVRE","18h40","21h00","A l'heure",0,"","24 juillet 2024%"
"57","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","18h50","20h26","A l'heure",0,"","24 juillet 2024%"
"58","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","19h11","20h47","A l'heure",0,"","24 juillet 2024%"
"59","PARIS-ST-LAZARE","LE HAVRE","19h40","21h55","A l'heure",0,"","24 juillet 2024%"
"60","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","20h12","21h49","A l'heure",0,"","24 juillet 2024%"
"61","PARIS-ST-LAZARE","LE HAVRE","20h40","22h55","A l'heure",0,"","24 juillet 2024%"
"62","PARIS-ST-LAZARE","ROUEN-RIVE-DROITE","21h12","22h44","A l'heure",0,"","24 juillet 2024%"
"63","SERQUIGNY","PARIS-ST-LAZARE","04h38","06h28","A l'heure",0,"","24 juillet 2024%"
"64","CAEN","PARIS-ST-LAZARE","04h59","07h15","A l'heure",0,"","24 juillet 2024%"
"65","SERQUIGNY","PARIS-ST-LAZARE","05h27","07h28","A l'heure",0,"","24 juillet 2024%"
"66","CAEN","PARIS-ST-LAZARE","06h09","08h19","A l'heure",0,"","24 juillet 2024%"
"67","SERQUIGNY","PARIS-ST-LAZARE","06h57","08h50","A l'heure",0,"","24 juillet 2024%"
"68","CHERBOURG","PARIS-ST-LAZARE","05h49","08h58","A l'heure",0,"","24 juillet 2024%"
"69","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","07h25","09h38","A l'heure",0,"","24 juillet 2024%"
"70","ÉVREUX-NORMANDIE","PARIS-ST-LAZARE","08h37","09h52","A l'heure",0,"","24 juillet 2024%"
"71","CHERBOURG","PARIS-ST-LAZARE","06h46","09h57","A l'heure",0,"","24 juillet 2024%"
"72","CAEN","PARIS-ST-LAZARE","08h25","10h32","A l'heure",0,"","24 juillet 2024%"
"73","CAEN","PARIS-ST-LAZARE","09h06","11h04","A l'heure",0,"","24 juillet 2024%"
"74","CHERBOURG","PARIS-ST-LAZARE","08h54","12h02","A l'heure",0,"","24 juillet 2024%"
"75","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","10h22","12h32","A l'heure",0,"","24 juillet 2024%"
"76","ÉVREUX-NORMANDIE","PARIS-ST-LAZARE","12h32","13h51","A l'heure",0,"","24 juillet 2024%"
"77","CHERBOURG","PARIS-ST-LAZARE","10h48","14h02","A l'heure",0,"","24 juillet 2024%"
"78","ÉVREUX-NORMANDIE","PARIS-ST-LAZARE","14h31","15h51","A l'heure",0,"","24 juillet 2024%"
"79","CHERBOURG","PARIS-ST-LAZARE","12h48","15h56","A l'heure",0,"","24 juillet 2024%"
"80","CAEN","PARIS-ST-LAZARE","14h25","16h31","A l'heure",0,"","24 juillet 2024%"
"81","ÉVREUX-NORMANDIE","PARIS-ST-LAZARE","16h31","17h51","A l'heure",0,"","24 juillet 2024%"
"82","ÉVREUX-NORMANDIE","PARIS-ST-LAZARE","17h34","18h55","A l'heure",0,"","24 juillet 2024%"
"83","CAEN","PARIS-ST-LAZARE","16h57","19h01","A l'heure",0,"","24 juillet 2024%"
"84","TROUVILLE-DEAUVILLE","PARIS-ST-LAZARE","17h20","19h30","A l'heure",0,"","24 juillet 2024%"
"85","CHERBOURG","PARIS-ST-LAZARE","16h47","19h56","A l'heure",0,"","24 juillet 2024%"
"86","CHERBOURG","PARIS-ST-LAZARE","17h39","21h03","A l'heure",0,"","24 juillet 2024%"
"87","ÉVREUX-NORMANDIE","PARIS-ST-LAZARE","20h35","21h53","A l'heure",0,"","24 juillet 2024%"
"88","CHERBOURG","PARIS-ST-LAZARE","19h17","22h51","A l'heure",0,"","24 juillet 2024%"
"89","PARIS-ST-LAZARE","CHERBOURG","06h12","09h36","A l'heure",0,"","24 juillet 2024%"
"90","PARIS-ST-LAZARE","ÉVREUX-NORMANDIE","07h09","08h24","A l'heure",0,"","24 juillet 2024%"
"91","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","07h27","09h40","A l'heure",0,"","24 juillet 2024%"
"92","PARIS-ST-LAZARE","CAEN","08h29","10h36","A l'heure",0,"","24 juillet 2024%"
"93","PARIS-ST-LAZARE","ÉVREUX-NORMANDIE","09h10","10h24","A l'heure",0,"","24 juillet 2024%"
"94","PARIS-ST-LAZARE","CAEN","09h59","12h03","A l'heure",0,"","24 juillet 2024%"
"95","PARIS-ST-LAZARE","CHERBOURG","10h59","14h06","A l'heure",0,"","24 juillet 2024%"
"96","PARIS-ST-LAZARE","SERQUIGNY","11h09","12h59","A l'heure",0,"","24 juillet 2024%"
"97","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","12h30","14h37","A l'heure",0,"","24 juillet 2024%"
"98","PARIS-ST-LAZARE","CHERBOURG","12h59","16h06","A l'heure",0,"","24 juillet 2024%"
"99","PARIS-ST-LAZARE","ÉVREUX-NORMANDIE","13h10","14h24","A l'heure",0,"","24 juillet 2024%"
"100","PARIS-ST-LAZARE","CAEN","13h56","16h02","A l'heure",0,"","24 juillet 2024%"
"101","PARIS-ST-LAZARE","ÉVREUX-NORMANDIE","15h09","16h24","A l'heure",0,"","24 juillet 2024%"
"102","PARIS-ST-LAZARE","CHERBOURG","15h58","19h06","A l'heure",0,"","24 juillet 2024%"
"103","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","16h08","18h20","A l'heure",0,"","24 juillet 2024%"
"104","PARIS-ST-LAZARE","SERQUIGNY","16h30","18h16","A l'heure",0,"","24 juillet 2024%"
"105","PARIS-ST-LAZARE","CHERBOURG","16h59","20h16","A l'heure",0,"","24 juillet 2024%"
"106","PARIS-ST-LAZARE","CAEN","17h09","19h16","A l'heure",0,"","24 juillet 2024%"
"107","PARIS-ST-LAZARE","SERQUIGNY","17h30","19h20","A l'heure",0,"","24 juillet 2024%"
"108","PARIS-ST-LAZARE","CHERBOURG","17h59","21h18","A l'heure",0,"","24 juillet 2024%"
"109","PARIS-ST-LAZARE","CAEN","18h08","20h21","A l'heure",0,"","24 juillet 2024%"
"110","PARIS-ST-LAZARE","SERQUIGNY","18h30","20h20","A l'heure",0,"","24 juillet 2024%"
"111","PARIS-ST-LAZARE","CHERBOURG","18h59","22h19","A l'heure",0,"","24 juillet 2024%"
"112","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","19h08","21h23","A l'heure",0,"","24 juillet 2024%"
"113","PARIS-ST-LAZARE","ÉVREUX-NORMANDIE","19h30","20h49","A l'heure",0,"","24 juillet 2024%"
"114","PARIS-ST-LAZARE","CAEN","19h59","22h02","A l'heure",0,"","24 juillet 2024%"
"115","PARIS-ST-LAZARE","CHERBOURG","20h59","00h14","A l'heure",0,"","24 juillet 2024%"
"116","ARGENTAN","PARIS-VAUGIRARD","06h12","08h16","A l'heure",0,"","24 juillet 2024%"
"117","GRANVILLE","PARIS-MONTPARNASSE","05h56","09h17","A l'heure",0,"","24 juillet 2024%"
"118","GRANVILLE","PARIS-MONTPARNASSE","09h00","12h06","Non",6,"","24 juillet 2024%"
"119","ARGENTAN","PARIS-VAUGIRARD","12h12","14h15","A l'heure",0,"","24 juillet 2024%"
"120","GRANVILLE","PARIS-MONTPARNASSE","11h56","15h06","A l'heure",0,"","24 juillet 2024%"
"121","GRANVILLE","PARIS-MONTPARNASSE","15h53","19h15","A l'heure",0,"","24 juillet 2024%"
